ID,Title,Phase,Status,BlockedBy,Assignee,StartedAt,DoneAt,DoD,Notes
PAC-001,Create mono-repo & scaffolds,Foundation,TODO,,,,,"apps/web, apps/bot, packages/ui|config|types exist; workspaces boot; README with dev scripts; pnpm dev runs.",
PAC-002,Tailwind + design tokens,Foundation,TODO,,,,,Tailwind configured; tokens for colors/spacing/type; demo page renders tokens.,
PAC-003,Supabase project setup,Foundation,TODO,,,,,Project created; env keys stored; CLI works; local config committed (no secrets).,
PAC-004,CI/CD + preview deployments,Foundation,TODO,,,,,PRs auto-build; preview per PR; main auto-deploys; CI badge visible.,
PAC-005,Logging & error boundaries,Foundation,TODO,,,,,Client+server logging wired; error boundary routes; /health returns OK.,
PAC-010,DB schema migrations,Auth & DB,TODO,,,,,"Create users, contests, submissions, votes, admin_actions; FKs+indexes; migrations scripted.",
PAC-011,RLS policies,Auth & DB,TODO,PAC-010,,,,"RLS on; policies for submissions(owner/admin), votes(one per contest), contests(public read/admin write).",
PAC-012,Discord OAuth,Auth & DB,TODO,PAC-010,,,,Discord login works; users row with discord_id; session cookie; logout.,
PAC-013,Twitch OAuth,Auth & DB,TODO,PAC-010,,,,Twitch login works; users row with twitch_id; session; logout.,
PAC-014,Account linking guard,Auth & DB,TODO,"PAC-012,PAC-013",,,,Discord+Twitch map to same users.id; no dup accounts; merge routine + tests.,
PAC-015,Role-based access control,Auth & DB,TODO,PAC-012,,,,"role ∈ {user, moderator, admin}; server guards; AdminRoute/ModeratorRoute.",
PAC-020,Admin layout shell,Contest Mgmt,TODO,PAC-015,,,,"Dedicated /admin with sidebar, breadcrumbs, role guard.",
PAC-021,Contest CRUD,Contest Mgmt,TODO,PAC-020,,,,Create/Edit/Delete contest; fields/validations; status: draft→active→voting→completed.,
PAC-022,Public submission form,Contest Mgmt,TODO,PAC-011,,,,Auth required; image upload; metadata; client validation.,
PAC-023,Image processing & storage,Contest Mgmt,TODO,PAC-022,,,,Resize/optimize; size/dimension caps; storage rules; signed URLs.,
PAC-024,Admin review queue,Contest Mgmt,TODO,"PAC-021,PAC-023",,,,Filter pending/approved/rejected; approve/reject/request changes; batch ops; notes.,
PAC-025,Admin placement & ordering,Contest Mgmt,TODO,PAC-024,,,,Drag-drop/order field for gallery placement; persists & reflects publicly.,
PAC-030,Contest detail & gallery,Voting,TODO,"PAC-021,PAC-024",,,,Contest page with rules/prizes/dates; grid+masonry submissions.,
PAC-031,Submission lightbox,Voting,TODO,PAC-030,,,,Fullscreen view; keyboard nav; artist info; vote button.,
PAC-032,Vote action (one per user/contest),Voting,TODO,"PAC-011,PAC-015",,,,Server-side uniqueness check; friendly already-voted error; confirmation UI.,
PAC-033,Realtime vote updates,Voting,TODO,PAC-032,,,,Supabase realtime subscriptions push counts; UI updates <1s; throttled.,
PAC-034,Anti-fraud & rate limiting,Voting,TODO,PAC-032,,,,IP/device heuristics; cooldowns; flag patterns; admin flagged view.,
PAC-035,Leaderboards & status badges,Voting,TODO,PAC-033,,,,Live leaderboard; Active/Voting/Completed chips; countdown timers.,
PAC-040,Homepage hero & sections,UX & Polish,TODO,PAC-030,,,,Brand hero; featured contest; winners spotlight; community highlights; responsive.,
PAC-041,Advanced UI kit,UX & Polish,TODO,PAC-002,,,,"Modal, Carousel, Skeletons, Stats; docs/demos present.",
PAC-042,Micro-interactions & a11y,UX & Polish,TODO,PAC-041,,,,Focus rings; reduced-motion; semantic landmarks; hover/tap affordances.,
PAC-043,Dark/Light themes,UX & Polish,TODO,PAC-041,,,,Theme toggle + system pref; contrast checked.,
PAC-044,Performance budget,UX & Polish,TODO,PAC-030,,,,Lazy-load images; code-split routes; cache headers; LCP<2s on 4G.,
PAC-050,Admin toolbar,Admin Tools,TODO,PAC-020,,,,Toolbar with categories System/Content/Users/Analytics/Discord/Emergency; shortcuts; pending counts.,
PAC-051,System monitoring dashboard,Admin Tools,TODO,PAC-005,,,,Uptime/latency/active users; service status; auto-refresh; color health.,
